availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
91,1725,GE1401,3,English,B,University English,N,true
21,125,GE2401,3,English,B,English for Science,N,true
184,450,GE2402,3,English,B,English for Business Communication,N,true
0,125,GE2404,3,English,B,Asian Literature in English,N,true
0,75,GE2405,3,English,B,Creative Writing,N,true
2,75,GE2407,3,English,B,"Reading Lives, Writing Selves: Autobiography and Culture",N,true
0,100,GE2408,3,English,B,Travel Writing: Discovery and Experience,N,true
59,100,GE2409,3,English,B,Words and Images: Reading and Writing in the 21st Century,N,true
91,350,GE2410,3,English,B,English for Engineering,N,true
73,250,GE3401,3,English,B,Exploring English Cinema,N,true
1,717,GE1501,3,Chinese and History,"A,B",Chinese Civilisation - History and Philosophy,N,true
11,36,GE1101,3,Chinese and History,"A,B",Chinese Cultural Heritage in Modern Perspective,N,true
26,80,GE1104,3,Chinese and History,"A,B",Chinese Cultural Canons and Their Modern Application,N,true
8,50,GE1107,3,Chinese and History,"A,B",The City in Chinese History and Culture,N,true
3,119,GE1110,3,School of Creative Media,"A,B",Exploring Contemporary Art,N,true
23,66,GE1112,3,Chinese and History,"A,B",Chán Culture and Contemporary Society,N,true
0,65,GE1113,3,School of Creative Media,"A,B",Visual Storytelling and Cultural Thinking,N,true
0,38,GE1114,3,Chinese and History,"A,B",Women's Lives in Chinese History,N,true
0,30,GE1117,3,Public Policy,B,Music and Human Values: Philosophical Investigations,N,true
7,38,GE1127,3,School of Creative Media,"A,B",Money and Art: Exchange and Transaction As Themes in Art-works,N,true
0,44,GE1128,3,School of Creative Media,"A,B",Music for Film,N,true
0,56,GE1129,3,School of Creative Media,"A,B",Creative Photography,N,true
0,59,GE1130,3,School of Creative Media,B,Introduction to Digital Media,N,true
15,55,GE1132,3,Linguistics and Translation,B,"Mind, Brain and Language: How Are Human Beings Special?",N,true
0,14,GE1134,3,Applied Social Sciences,B,Movies and Psychology,N,true
0,93,GE2101,3,Public Policy,B,Rational Thinking and Creative Ideas,N,true
28,41,GE2103,3,Chinese and History,"A,B",Appreciating Masterpieces of Western Culture,N,true
0,39,GE2105,3,English,"A,B",Popular Culture,N,true
0,30,GE2106,3,Public Policy,B,Philosophy and Life: A Dialogue,N,true
0,43,GE2108,3,English,"A,B",Literature in Our Lives,N,true
0,107,GE2109,3,Applied Social Sciences,B,"Love, Sex, and Relationships: Psychological Perspectives",N,true
0,117,GE2112,3,Asian & International Studies,"A,B","Vampires, Monsters and Teen Demons: A Study of the Gothic in Literature and Culture",N,true
1,118,GE2117,3,Asian & International Studies,B,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",N,true
62,117,GE2120,3,Asian & International Studies,B,Asian Values and Managerial Practices,N,true
43,83,GE2122,3,Linguistics and Translation,"A,B","The Cantonese Language in Use: Language, Grammar and Culture",N,true
12,81,GE2125,3,Linguistics and Translation,B,"The Bible: Its History, Literature, and Influence",N,true
0,58,GE2127,3,Architecture and Civil Engg,B,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",N,true
